Domanda,Opzione_1,Opzione_2,Opzione_3,Opzione_4,Risposta_Corretta,Ruolo_Bonus
Chi fu il primo essere umano a camminare sulla Luna?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Alan Shepard,1,astronauta
In che anno avvenne la missione Apollo 11?,1965,1967,1969,1972,3,capo_ingegnere
Qual è il nome del modulo lunare dell'Apollo 11?,Eagle,Columbia,Challenger,Discovery,1,direttore_lancio
Chi fu il primo uomo nello spazio?,Yuri Gagarin,Alan Shepard,John Glenn,Gus Grissom,1,capo_progetto
Quale agenzia spaziale ha realizzato il Saturn V?,NASA,ESA,ROSCOSMOS,JAXA,1,capo_ingegnere
Quanti astronauti erano a bordo dell'Apollo 11?,2,3,4,5,2,capcom
Come si chiama la storica manovra di rendez-vous del 1975?,Apollo-Soyuz,Gemini-Mir,Shuttle-ISS,Mercury-Vostok,1,astronauta
Qual è la distanza media Terra-Luna in km?,384400,100000,500000,200000,1,capo_ingegnere
Quanto ci vuole per raggiungere la Luna dal lancio (giorni)?,3,1,7,14,1,direttore_lancio
Come si chiama la tuta spaziale indossata dagli astronauti Apollo sulla Luna?,A7L,EMU,Sokol,IVA,1,astronauta
Quale pianeta è il più grande del Sistema Solare?,Giove,Saturno,Urano,Nettuno,1,capo_ingegnere
L'ISS orbita a circa quanti km dalla Terra?,400,200,1000,100,1,capo_progetto
Qual è il nome del rover lunare usato nelle missioni Apollo 15-17?,LRV,LEM,MLRS,MULE,1,capcom
Chi era il direttore di volo durante l'Apollo 13?,Gene Kranz,Wernher von Braun,Chris Kraft,John Aaron,1,direttore_lancio
Cosa significa LEO nell'astrofisica?,Low Earth Orbit,Lunar Escape Option,Landing Entry Object,Light Energy Output,1,astronauta
